count,encroached,area_m2,area_feddan,patch_id,mean_carbon_potential,rank,centroid_lat,centroid_lon,relative_carbon_loss_share_pct,size_class
4,1,341.7172352199388,0.08134517112569155,KED-ENCR-0141,32.99159193161463,55,31.121055039983545,30.127697998799693,0.017154501391963492,Small (<500 m²)
4,1,341.71616158568327,0.08134491554899467,KED-ENCR-0147,15.877034592995864,56,31.121324534568775,30.12796749338493,0.00825548997029133,Small (<500 m²)
4,1,341.6913941914718,0.08133901971550188,KED-ENCR-0057,65.5960377692605,57,31.129274624799773,30.120241981984503,0.034105120771843175,Small (<500 m²)
4,1,341.6838376739623,0.08133722090014647,KED-ENCR-0107,22.806508150355167,58,31.13102633963727,30.123296253907505,0.011857446574729561,Small (<500 m²)
4,1,341.66827143913866,0.08133351538604006,KED-ENCR-0076,47.110717343131675,59,31.13560774758626,30.121769117924504,0.02449245458143065,Small (<500 m²)
4,1,341.6679062240895,0.08133342844725673,KED-ENCR-0179,34.366612653545864,60,31.134260274660097,30.133447216618055,0.017866885653048586,Small (<500 m²)
4,1,341.65742380367203,0.08133093312599464,KED-ENCR-0079,15.104611380008125,61,31.138662019564023,30.12181403371799,0.007852507529851432,Small (<500 m²)
4,1,341.6569883550395,0.08133082946823354,KED-ENCR-0070,5.111011611850699,62,31.13886414052264,30.121387333951816,0.0026570829931110533,Small (<500 m²)
4,1,341.6557235382671,0.08133052838088357,KED-ENCR-0044,10.662184087003478,63,31.139762455833463,30.116828383910036,0.005542973735824072,Small (<500 m²)
4,1,341.65484420882893,0.08133031905809779,KED-ENCR-0018,14.176933261099478,64,31.14041373447126,30.113594448823303,0.007370175362740714,Small (<500 m²)
4,1,341.65400854261924,0.08133012012926476,KED-ENCR-0020,27.20636847094844,65,31.14059339752807,30.114043606465366,0.014143765260971684,Small (<500 m²)
4,1,341.6532348606893,0.08132993595567764,KED-ENCR-0094,12.834669609836299,66,31.13976245573379,30.12237548077438,0.006672340091186314,Small (<500 m²)
4,1,341.64761539575966,0.08132859825219294,KED-ENCR-0143,59.027263154210516,67,31.140705686782105,30.127720456714894,0.030685908433931125,Small (<500 m²)
4,1,341.64596718828426,0.08132820589937804,KED-ENCR-0156,15.881513892603332,68,31.140997639184278,30.12902301378663,0.008256122747278574,Small (<500 m²)
4,1,341.62808836997334,0.08132394987894614,KED-ENCR-0030,7.478580167712595,69,31.147779919652614,30.115031753336645,0.0038875918947274025,Small (<500 m²)
4,1,341.62558248617904,0.08132335335783145,KED-ENCR-0027,5.642462718940834,70,31.1485210298215,30.114560137733196,0.002933101062004608,Small (<500 m²)
3,1,256.2951419477331,0.06101059598882438,KED-ENCR-0012,67.60343841759293,71,31.120141752770923,30.113160263100863,0.026364352115929388,Small (<500 m²)
3,1,256.2724234644161,0.06100518789487222,KED-ENCR-0090,22.090533181579232,72,31.127567825736975,30.12223324743304,0.008614221163860838,Small (<500 m²)
